subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
43, test, 1, vibration during choice, 50, 4, 2, 12.jpg, 10.jpg, 0.348042517, 0.548355336, 0.348042517, right, 2, 4, 2, 12.jpg, 10.jpg, 0.5970505999866873, 2, 0.304272396, 0.548355336, 0.386662209, 0.348042517,0,
43, practice, 2, vibration off, 1, 2, 3, 2.jpg, 3.jpg, 0.332201416, 0.584847675, 0.584847675, left, 1, 3, 2, 3.jpg, 2.jpg, 1.333259699982591, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
43, practice, 2, vibration off, 2, 2, 1, 2.jpg, 1.jpg, 0.355471562, 0.176264347, 0.176264347, left, 1, 1, 2, 1.jpg, 2.jpg, 0.6065151000220794, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
43, practice, 2, vibration off, 3, 1, 4, 1.jpg, 4.jpg, 0.206677553, 0.275426328, 0.275426328, left, 1, 4, 1, 4.jpg, 1.jpg, 1.0903521000000183, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
43, practice, 2, vibration off, 4, 4, 3, 4.jpg, 3.jpg, 0.268568422, 0.569745321, 0.569745321, left, 1, 3, 4, 3.jpg, 4.jpg, 0.4230754000018351, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
43, practice, 2, vibration off, 5, 3, 4, 3.jpg, 4.jpg, 0.582527891, 0.302042001, 0.302042001, left, 1, 4, 3, 4.jpg, 3.jpg, 0.7664248000073712, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
43, test, 2, vibration off, 1, 3, 2, 3.jpg, 2.jpg, 0.584847675, 0.332201416, 0.332201416, left, 1, 2, 3, 2.jpg, 3.jpg, 0.5840023999917321, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
43, test, 2, vibration off, 2, 2, 3, 2.jpg, 3.jpg, 0.355471562, 0.582595424, 0.582595424, left, 1, 3, 2, 3.jpg, 2.jpg, 0.604057799995644, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,1
43, test, 2, vibration off, 3, 3, 1, 3.jpg, 1.jpg, 0.578794293, 0.206677553, 0.206677553, left, 1, 1, 3, 1.jpg, 3.jpg, 0.9209152999974322, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
43, test, 2, vibration off, 4, 1, 4, 1.jpg, 4.jpg, 0.216551625, 0.268568422, 0.268568422, left, 1, 4, 1, 4.jpg, 1.jpg, 0.2473900000040885, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
43, test, 2, vibration off, 5, 3, 1, 3.jpg, 1.jpg, 0.582527891, 0.21991786, 0.21991786, left, 1, 1, 3, 1.jpg, 3.jpg, 0.24732329999096692, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
43, test, 2, vibration off, 6, 1, 4, 1.jpg, 4.jpg, 0.209090036, 0.336540119, 0.209090036, right, 2, 1, 4, 1.jpg, 4.jpg, 0.2901156999869272, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
43, test, 2, vibration off, 7, 2, 4, 2.jpg, 4.jpg, 0.39060737, 0.363378709, 0.39060737, right, 2, 2, 4, 2.jpg, 4.jpg, 0.34841099998448044, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,1
43, test, 2, vibration off, 8, 3, 1, 3.jpg, 1.jpg, 0.545053358, 0.219868403, 0.545053358, right, 2, 3, 1, 3.jpg, 1.jpg, 1.0554135999991558, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,0,
43, test, 2, vibration off, 9, 1, 4, 1.jpg, 4.jpg, 0.223820368, 0.365747455, 0.365747455, left, 1, 4, 1, 4.jpg, 1.jpg, 0.9390915999829303, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,1
