subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
2, test, 2, vibration off, 1, 1, 4, 5.jpg, 8.jpg, 0.167787674, 0.302670058, 0.302670058, left, 1, 4, 1, 8.jpg, 5.jpg, 0.5916652999876533, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
2, test, 2, vibration off, 2, 2, 4, 6.jpg, 8.jpg, 0.355471562, 0.290755999, 0.290755999, left, 1, 4, 2, 8.jpg, 6.jpg, 0.9001344999996945, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
2, test, 2, vibration off, 3, 2, 1, 6.jpg, 5.jpg, 0.3490424, 0.206677553, 0.3490424, right, 2, 2, 1, 6.jpg, 5.jpg, 0.8059560999972746, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,0,
2, test, 2, vibration off, 4, 1, 4, 5.jpg, 8.jpg, 0.216551625, 0.268568422, 0.268568422, left, 1, 4, 1, 8.jpg, 5.jpg, 0.6197721999778878, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,1
2, test, 2, vibration off, 5, 3, 4, 7.jpg, 8.jpg, 0.582527891, 0.302042001, 0.582527891, right, 2, 3, 4, 7.jpg, 8.jpg, 0.8226217000046745, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
2, test, 2, vibration off, 6, 1, 2, 5.jpg, 6.jpg, 0.209090036, 0.3895513, 0.209090036, right, 2, 1, 2, 5.jpg, 6.jpg, 1.3823056000110228, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,1
2, test, 2, vibration off, 7, 2, 4, 6.jpg, 8.jpg, 0.39060737, 0.363378709, 0.363378709, left, 1, 4, 2, 8.jpg, 6.jpg, 0.9953595999977551, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,1
2, test, 2, vibration off, 8, 1, 4, 5.jpg, 8.jpg, 0.219868403, 0.369794555, 0.219868403, right, 2, 1, 4, 5.jpg, 8.jpg, 1.1475374999863561, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,1
2, test, 2, vibration off, 9, 2, 1, 6.jpg, 5.jpg, 0.4539861, 0.223820368, 0.223820368, left, 1, 1, 2, 5.jpg, 6.jpg, 1.1265346000145655, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,0,
2, test, 2, vibration off, 10, 4, 3, 8.jpg, 7.jpg, 0.36426522, 0.507816291, 0.507816291, left, 1, 3, 4, 7.jpg, 8.jpg, 1.3450349000049755, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,1
2, test, 2, vibration off, 11, 4, 2, 8.jpg, 6.jpg, 0.378430477, 0.489357893, 0.378430477, right, 2, 4, 2, 8.jpg, 6.jpg, 0.9082754999981262, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
2, test, 2, vibration off, 12, 3, 4, 7.jpg, 8.jpg, 0.446302549, 0.406276663, 0.406276663, left, 1, 4, 3, 8.jpg, 7.jpg, 0.5787410000048112, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
2, test, 2, vibration off, 13, 3, 2, 7.jpg, 6.jpg, 0.441292304, 0.493007884, 0.441292304, right, 2, 3, 2, 7.jpg, 6.jpg, 0.47443059997749515, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,1
2, test, 2, vibration off, 14, 4, 3, 8.jpg, 7.jpg, 0.411853134, 0.424090899, 0.424090899, left, 1, 3, 4, 7.jpg, 8.jpg, 0.7399815999960992, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
2, test, 2, vibration off, 15, 3, 2, 7.jpg, 6.jpg, 0.410741903, 0.498060855, 0.498060855, left, 1, 2, 3, 6.jpg, 7.jpg, 1.2525180999946315, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,1
2, test, 2, vibration off, 16, 4, 1, 8.jpg, 5.jpg, 0.434571537, 0.268446939, 0.268446939, left, 1, 1, 4, 5.jpg, 8.jpg, 1.9688579000066966, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,0,
2, test, 2, vibration off, 17, 4, 3, 8.jpg, 7.jpg, 0.467037886, 0.397409959, 0.467037886, right, 2, 4, 3, 8.jpg, 7.jpg, 0.5740264999913052, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,0,
2, test, 2, vibration off, 18, 4, 3, 8.jpg, 7.jpg, 0.458160423, 0.380302803, 0.380302803, left, 1, 3, 4, 7.jpg, 8.jpg, 0.8589785999793094, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
2, test, 2, vibration off, 19, 2, 1, 6.jpg, 5.jpg, 0.435371131, 0.269452755, 0.269452755, left, 1, 1, 2, 5.jpg, 6.jpg, 1.25915040000109, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
2, test, 2, vibration off, 20, 1, 4, 5.jpg, 8.jpg, 0.268741649, 0.410963982, 0.268741649, right, 2, 1, 4, 5.jpg, 8.jpg, 1.703183200006606, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
2, test, 2, vibration off, 21, 2, 3, 6.jpg, 7.jpg, 0.44190032, 0.404768464, 0.404768464, left, 1, 3, 2, 7.jpg, 6.jpg, 0.6326904000015929, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,1
2, test, 2, vibration off, 22, 3, 4, 7.jpg, 8.jpg, 0.422610309, 0.389718337, 0.422610309, right, 2, 3, 4, 7.jpg, 8.jpg, 0.9002899999904912, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
2, test, 2, vibration off, 23, 2, 3, 6.jpg, 7.jpg, 0.397611772, 0.408863932, 0.397611772, right, 2, 2, 3, 6.jpg, 7.jpg, 1.3619616000214592, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,1
2, test, 2, vibration off, 24, 3, 4, 7.jpg, 8.jpg, 0.405854252, 0.398445672, 0.405854252, right, 2, 3, 4, 7.jpg, 8.jpg, 1.70707279999624, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,0,
2, test, 2, vibration off, 25, 2, 1, 6.jpg, 5.jpg, 0.383103254, 0.254259812, 0.254259812, left, 1, 1, 2, 5.jpg, 6.jpg, 0.5926536000042688, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
2, test, 2, vibration off, 26, 2, 3, 6.jpg, 7.jpg, 0.426705428, 0.44409494, 0.44409494, left, 1, 3, 2, 7.jpg, 6.jpg, 0.9520029000123031, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
2, test, 2, vibration off, 27, 1, 4, 5.jpg, 8.jpg, 0.260664603, 0.351861927, 0.260664603, right, 2, 1, 4, 5.jpg, 8.jpg, 1.029666399990674, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,1
2, test, 2, vibration off, 28, 4, 2, 8.jpg, 6.jpg, 0.358204472, 0.456535155, 0.358204472, right, 2, 4, 2, 8.jpg, 6.jpg, 0.8508883000176866, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
