subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
51, test, 2, vibration during choice, 6, 2, 4, 10.jpg, 12.jpg, 0.3895513, 0.336540119, 0.336540119, left, 1, 4, 2, 12.jpg, 10.jpg, 0.7051299999875482, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
51, test, 2, vibration during choice, 7, 4, 2, 12.jpg, 10.jpg, 0.363378709, 0.39060737, 0.39060737, left, 1, 2, 4, 10.jpg, 12.jpg, 0.6735172000189777, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,0,
51, test, 2, vibration during choice, 8, 3, 2, 11.jpg, 10.jpg, 0.545053358, 0.430440014, 0.545053358, right, 2, 3, 2, 11.jpg, 10.jpg, 0.8402128999878187, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,1
51, test, 2, vibration during choice, 9, 4, 2, 12.jpg, 10.jpg, 0.365747455, 0.4539861, 0.365747455, right, 2, 4, 2, 12.jpg, 10.jpg, 0.7460037000128068, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,0,
51, test, 2, vibration during choice, 10, 1, 4, 9.jpg, 12.jpg, 0.25320591, 0.36426522, 0.25320591, right, 2, 1, 4, 9.jpg, 12.jpg, 0.7582076999824494, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
51, test, 2, vibration during choice, 11, 2, 1, 10.jpg, 9.jpg, 0.489357893, 0.272116099, 0.272116099, left, 1, 1, 2, 9.jpg, 10.jpg, 1.170166900003096, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
51, test, 2, vibration during choice, 12, 3, 1, 11.jpg, 9.jpg, 0.446302549, 0.234286576, 0.446302549, right, 2, 3, 1, 11.jpg, 9.jpg, 0.5595418000011705, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
51, test, 2, vibration during choice, 13, 3, 2, 11.jpg, 10.jpg, 0.441292304, 0.493007884, 0.441292304, right, 2, 3, 2, 11.jpg, 10.jpg, 0.3567079000058584, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
51, test, 2, vibration during choice, 14, 1, 2, 9.jpg, 10.jpg, 0.194746258, 0.496165246, 0.194746258, right, 2, 1, 2, 9.jpg, 10.jpg, 1.0366223999881186, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,0,
51, test, 2, vibration during choice, 15, 4, 2, 12.jpg, 10.jpg, 0.425420016, 0.498060855, 0.425420016, right, 2, 4, 2, 12.jpg, 10.jpg, 1.1028958999959286, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
51, test, 2, vibration during choice, 16, 3, 1, 11.jpg, 9.jpg, 0.384469806, 0.268446939, 0.384469806, right, 2, 3, 1, 11.jpg, 9.jpg, 0.7376661000016611, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,1
51, test, 2, vibration during choice, 17, 1, 2, 9.jpg, 10.jpg, 0.260713561, 0.427927548, 0.427927548, left, 1, 2, 1, 10.jpg, 9.jpg, 1.0858150999993086, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,1
51, test, 2, vibration during choice, 18, 2, 3, 10.jpg, 11.jpg, 0.42862063, 0.380302803, 0.42862063, right, 2, 2, 3, 10.jpg, 11.jpg, 0.46263189997989684, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,0,
51, test, 2, vibration during choice, 19, 4, 1, 12.jpg, 9.jpg, 0.413401572, 0.269452755, 0.269452755, left, 1, 1, 4, 9.jpg, 12.jpg, 0.848927899991395, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,1
51, test, 2, vibration during choice, 20, 3, 2, 11.jpg, 10.jpg, 0.408454439, 0.425551488, 0.408454439, right, 2, 3, 2, 11.jpg, 10.jpg, 0.6131692000199109, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,0,
51, test, 2, vibration during choice, 21, 3, 2, 11.jpg, 10.jpg, 0.404768464, 0.44190032, 0.404768464, right, 2, 3, 2, 11.jpg, 10.jpg, 0.3790368000045419, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,0,
51, test, 2, vibration during choice, 22, 2, 4, 10.jpg, 12.jpg, 0.419525056, 0.389718337, 0.419525056, right, 2, 2, 4, 10.jpg, 12.jpg, 1.0752757999871392, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
51, test, 2, vibration during choice, 23, 3, 1, 11.jpg, 9.jpg, 0.408863932, 0.275422902, 0.408863932, right, 2, 3, 1, 11.jpg, 9.jpg, 0.40292990001034923, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,0,
51, test, 2, vibration during choice, 24, 4, 1, 12.jpg, 9.jpg, 0.398445672, 0.266650787, 0.398445672, right, 2, 4, 1, 12.jpg, 9.jpg, 0.7222185999853536, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,1
51, test, 2, vibration during choice, 25, 4, 2, 12.jpg, 10.jpg, 0.3844496, 0.383103254, 0.3844496, right, 2, 4, 2, 12.jpg, 10.jpg, 0.4951295000209939, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
51, test, 2, vibration during choice, 26, 1, 4, 9.jpg, 12.jpg, 0.251503025, 0.389570929, 0.389570929, left, 1, 4, 1, 12.jpg, 9.jpg, 1.734414399979869, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
51, test, 2, vibration during choice, 27, 1, 4, 9.jpg, 12.jpg, 0.260664603, 0.351861927, 0.260664603, right, 2, 1, 4, 9.jpg, 12.jpg, 0.6714681000157725, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,0,
51, test, 2, vibration during choice, 28, 4, 3, 12.jpg, 11.jpg, 0.358204472, 0.471375184, 0.471375184, left, 1, 3, 4, 11.jpg, 12.jpg, 0.7834822999720927, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
51, test, 2, vibration during choice, 29, 4, 2, 12.jpg, 10.jpg, 0.360838495, 0.431125609, 0.360838495, right, 2, 4, 2, 12.jpg, 10.jpg, 0.6239576999796554, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,0,
51, test, 2, vibration during choice, 30, 2, 1, 10.jpg, 9.jpg, 0.434793002, 0.231605059, 0.231605059, left, 1, 1, 2, 9.jpg, 10.jpg, 1.153270100010559, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,0,
51, test, 2, vibration during choice, 31, 2, 3, 10.jpg, 11.jpg, 0.473135831, 0.456731037, 0.456731037, left, 1, 3, 2, 11.jpg, 10.jpg, 0.6465350999787915, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,0,
51, test, 2, vibration during choice, 32, 1, 2, 9.jpg, 10.jpg, 0.24432205, 0.452508743, 0.24432205, right, 2, 1, 2, 9.jpg, 10.jpg, 0.644982700003311, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
51, test, 2, vibration during choice, 33, 4, 2, 12.jpg, 10.jpg, 0.402704902, 0.458621481, 0.458621481, left, 1, 2, 4, 10.jpg, 12.jpg, 1.3953321000153664, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
51, test, 2, vibration during choice, 34, 2, 3, 10.jpg, 11.jpg, 0.43001655, 0.409321444, 0.409321444, left, 1, 3, 2, 11.jpg, 10.jpg, 0.5999945000221487, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,0,
51, test, 2, vibration during choice, 35, 4, 1, 12.jpg, 9.jpg, 0.419699964, 0.22048214, 0.419699964, right, 2, 4, 1, 12.jpg, 9.jpg, 0.6898707000073045, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,1
51, test, 2, vibration during choice, 36, 1, 3, 9.jpg, 11.jpg, 0.211101934, 0.423948221, 0.423948221, left, 1, 3, 1, 11.jpg, 9.jpg, 0.6941483999835327, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
51, test, 2, vibration during choice, 37, 3, 4, 11.jpg, 12.jpg, 0.43257228, 0.39910528, 0.43257228, right, 2, 3, 4, 11.jpg, 12.jpg, 1.111526299995603, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
51, test, 2, vibration during choice, 38, 4, 3, 12.jpg, 11.jpg, 0.390289699, 0.4363313, 0.390289699, right, 2, 4, 3, 12.jpg, 11.jpg, 0.7793105999880936, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,1
51, test, 2, vibration during choice, 39, 1, 2, 9.jpg, 10.jpg, 0.214118114, 0.447660961, 0.214118114, right, 2, 1, 2, 9.jpg, 10.jpg, 1.309881899971515, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,0,
51, test, 2, vibration during choice, 40, 1, 2, 9.jpg, 10.jpg, 0.217505069, 0.447456341, 0.217505069, right, 2, 1, 2, 9.jpg, 10.jpg, 0.9605271999898832, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,0,
51, test, 2, vibration during choice, 41, 1, 3, 9.jpg, 11.jpg, 0.249081937, 0.382054645, 0.382054645, left, 1, 3, 1, 11.jpg, 9.jpg, 0.5384442999784369, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,1
51, test, 2, vibration during choice, 42, 4, 2, 12.jpg, 10.jpg, 0.368787043, 0.480978505, 0.368787043, right, 2, 4, 2, 12.jpg, 10.jpg, 1.2390601999941282, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,0,
51, test, 2, vibration during choice, 43, 1, 4, 9.jpg, 12.jpg, 0.288213763, 0.38383929, 0.38383929, left, 1, 4, 1, 12.jpg, 9.jpg, 0.2954273000068497, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,0,
51, test, 2, vibration during choice, 44, 3, 1, 11.jpg, 9.jpg, 0.350203513, 0.294374293, 0.294374293, left, 1, 1, 3, 9.jpg, 11.jpg, 0.574125399987679, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,0,
51, test, 2, vibration during choice, 45, 4, 2, 12.jpg, 10.jpg, 0.367033206, 0.512913286, 0.367033206, right, 2, 4, 2, 12.jpg, 10.jpg, 0.8986253000039142, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,0,
