subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
62, practice,3, vibration during outcome,1,3,2, 7.jpg, 6.jpg,0.584847675,0.332201416,0.584847675, right,2,3,2, 7.jpg, 6.jpg,0.5050772,2,0.167787674,0.332201416,0.584847675,0.302670058,1
62, practice,3, vibration during outcome,2,2,1, 6.jpg, 5.jpg,0.355471562,0.176264347,0.355471562, right,2,2,1, 6.jpg, 5.jpg,0.4735614,2,0.176264347,0.355471562,0.582595424,0.290755999,0
62, practice,3, vibration during outcome,3,2,3, 6.jpg, 7.jpg,0.3490424,0.578794293,0.3490424, right,2,2,3, 6.jpg, 7.jpg,0.661384,2,0.206677553,0.3490424,0.578794293,0.275426328,0
62, practice,3, vibration during outcome,4,1,3, 5.jpg, 7.jpg,0.216551625,0.569745321,0.569745321, left,1,3,1, 7.jpg, 5.jpg,2.06E-05,2,0.216551625,0.358181966,0.569745321,0.268568422,1
62, practice,3, vibration during outcome,5,2,4, 6.jpg, 8.jpg,0.364707579,0.302042001,0.302042001, left,1,4,2, 8.jpg, 6.jpg,0.5719235,2,0.21991786,0.364707579,0.582527891,0.302042001,0
62, test,3, vibration during outcome,1,3,1, 7.jpg, 5.jpg,0.584847675,0.167787674,0.167787674, left,1,1,3, 5.jpg, 7.jpg,0.9752821,2,0.167787674,0.332201416,0.584847675,0.302670058,0
62, test,3, vibration during outcome,2,1,3, 5.jpg, 7.jpg,0.176264347,0.582595424,0.176264347, right,2,1,3, 5.jpg, 7.jpg,0.3219489,2,0.176264347,0.355471562,0.582595424,0.290755999,1
62, test,3, vibration during outcome,3,1,2, 5.jpg, 6.jpg,0.206677553,0.3490424,0.206677553, right,2,1,2, 5.jpg, 6.jpg,0.4419049,2,0.206677553,0.3490424,0.578794293,0.275426328,0
62, test,3, vibration during outcome,4,2,3, 6.jpg, 7.jpg,0.358181966,0.569745321,0.358181966, right,2,2,3, 6.jpg, 7.jpg,0.6210107,2,0.216551625,0.358181966,0.569745321,0.268568422,0
62, test,3, vibration during outcome,5,2,4, 6.jpg, 8.jpg,0.364707579,0.302042001,0.302042001, left,1,4,2, 8.jpg, 6.jpg,0.7377888,2,0.21991786,0.364707579,0.582527891,0.302042001,1
62, test,3, vibration during outcome,6,4,2, 8.jpg, 6.jpg,0.336540119,0.3895513,0.336540119, right,2,4,2, 8.jpg, 6.jpg,0.7903128,2,0.209090036,0.3895513,0.587455063,0.336540119,0
62, test,3, vibration during outcome,7,3,1, 7.jpg, 5.jpg,0.582464681,0.215508938,0.215508938, left,1,1,3, 5.jpg, 7.jpg,0.4054596,2,0.215508938,0.39060737,0.582464681,0.363378709,0
62, test,3, vibration during outcome,8,2,4, 6.jpg, 8.jpg,0.430440014,0.369794555,0.430440014, right,2,2,4, 6.jpg, 8.jpg,0.3225719,2,0.219868403,0.430440014,0.545053358,0.369794555,1
62, test,3, vibration during outcome,9,3,1, 7.jpg, 5.jpg,0.530883085,0.223820368,0.530883085, right,2,3,1, 7.jpg, 5.jpg,0.4106068,2,0.223820368,0.4539861,0.530883085,0.365747455,1
62, test,3, vibration during outcome,10,4,2, 8.jpg, 6.jpg,0.36426522,0.485995524,0.36426522, right,2,4,2, 8.jpg, 6.jpg,0.3743553,2,0.25320591,0.485995524,0.507816291,0.36426522,0
62, test,3, vibration during outcome,11,3,1, 7.jpg, 5.jpg,0.494989907,0.272116099,0.272116099, left,1,1,3, 5.jpg, 7.jpg,0.5054124,2,0.272116099,0.489357893,0.494989907,0.378430477,0
